video_index,video_id,video_key,model,dimension,n,score_human,sd_human,auto_video_id,Bleu_4,ROUGE_L,CIDEr,METEOR,R@4
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,accuracy,36,81.25,15.089,v_7ZbH4vHTmVs,6.7051,28.0644,0.0,28.7463,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,completeness,36,79.1667,17.4233,v_7ZbH4vHTmVs,6.7051,28.0644,0.0,28.7463,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,conciseness,36,66.6667,19.8206,v_7ZbH4vHTmVs,6.7051,28.0644,0.0,28.7463,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,GPT-4.1,relevance,36,70.8333,26.3899,v_7ZbH4vHTmVs,6.7051,28.0644,0.0,28.7463,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,accuracy,36,50.0,28.6606,v_7ZbH4vHTmVs,0.001,23.978,0.057,26.1539,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,completeness,36,47.2222,28.5218,v_7ZbH4vHTmVs,0.001,23.978,0.057,26.1539,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,conciseness,36,43.0556,25.7814,v_7ZbH4vHTmVs,0.001,23.978,0.057,26.1539,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,Llama 4,relevance,36,47.2222,27.8887,v_7ZbH4vHTmVs,0.001,23.978,0.057,26.1539,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,accuracy,36,15.2778,20.9402,v_7ZbH4vHTmVs,18.98,39.6963,144.415,38.0887,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,completeness,36,14.5833,19.2493,v_7ZbH4vHTmVs,18.98,39.6963,144.415,38.0887,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,conciseness,36,25.0,29.8807,v_7ZbH4vHTmVs,18.98,39.6963,144.415,38.0887,0.0
7,7ZbH4vHTmVs,7ZbH4vHTmVs,SkimCap,relevance,36,22.2222,25.1976,v_7ZbH4vHTmVs,18.98,39.6963,144.415,38.0887,0.0
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,accuracy,36,84.0278,15.983,v_rmoa-Ffel2k,0.0,20.8062,8.9448,17.7515,2.0833
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,completeness,36,75.6944,23.5176,v_rmoa-Ffel2k,0.0,20.8062,8.9448,17.7515,2.0833
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,conciseness,36,77.7778,22.9734,v_rmoa-Ffel2k,0.0,20.8062,8.9448,17.7515,2.0833
8,rmoa-Ffel2k,rmoa-Ffel2k,GPT-4.1,relevance,36,73.6111,26.689,v_rmoa-Ffel2k,0.0,20.8062,8.9448,17.7515,2.0833
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,accuracy,36,14.5833,21.0229,v_rmoa-Ffel2k,0.0011,19.4336,14.4487,19.5353,0.0
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,completeness,36,21.5278,27.4856,v_rmoa-Ffel2k,0.0011,19.4336,14.4487,19.5353,0.0
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,conciseness,36,28.4722,28.1278,v_rmoa-Ffel2k,0.0011,19.4336,14.4487,19.5353,0.0
8,rmoa-Ffel2k,rmoa-Ffel2k,Llama 4,relevance,36,17.3611,26.6052,v_rmoa-Ffel2k,0.0011,19.4336,14.4487,19.5353,0.0
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,accuracy,36,15.9722,21.6735,v_rmoa-Ffel2k,26.2679,44.9474,50.9406,41.3301,0.0
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,completeness,36,19.4444,23.9874,v_rmoa-Ffel2k,26.2679,44.9474,50.9406,41.3301,0.0
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,conciseness,36,25.6944,26.3805,v_rmoa-Ffel2k,26.2679,44.9474,50.9406,41.3301,0.0
8,rmoa-Ffel2k,rmoa-Ffel2k,SkimCap,relevance,36,15.9722,19.042,v_rmoa-Ffel2k,26.2679,44.9474,50.9406,41.3301,0.0
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,accuracy,36,89.5833,15.089,v_bXdq2zI1Ms0,0.0,12.344,0.0045,18.0921,0.0
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,completeness,36,84.7222,18.203,v_bXdq2zI1Ms0,0.0,12.344,0.0045,18.0921,0.0
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,conciseness,36,85.4167,18.2981,v_bXdq2zI1Ms0,0.0,12.344,0.0045,18.0921,0.0
9,bXdq2zI1Ms0,bXdq2zI1Ms0,GPT-4.1,relevance,36,87.5,19.3649,v_bXdq2zI1Ms0,0.0,12.344,0.0045,18.0921,0.0
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,accuracy,36,83.3333,16.9031,v_bXdq2zI1Ms0,0.0,13.1749,1.1471,8.7108,2.9412
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,completeness,36,75.0,20.702,v_bXdq2zI1Ms0,0.0,13.1749,1.1471,8.7108,2.9412
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,conciseness,36,77.7778,19.6194,v_bXdq2zI1Ms0,0.0,13.1749,1.1471,8.7108,2.9412
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,relevance,36,81.25,19.2493,v_bXdq2zI1Ms0,0.0,13.1749,1.1471,8.7108,2.9412
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,accuracy,36,8.3333,22.3607,v_bXdq2zI1Ms0,0.0,17.712,15.9375,19.0692,7.4074
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,completeness,36,11.8056,23.5176,v_bXdq2zI1Ms0,0.0,17.712,15.9375,19.0692,7.4074
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,conciseness,36,18.0556,29.6474,v_bXdq2zI1Ms0,0.0,17.712,15.9375,19.0692,7.4074
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,relevance,36,11.1111,23.4859,v_bXdq2zI1Ms0,0.0,17.712,15.9375,19.0692,7.4074
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,accuracy,36,84.0278,15.983,v_-UwqKYkkKlU,0.0,24.3236,2.1142,17.3077,0.0
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,completeness,36,83.3333,19.8206,v_-UwqKYkkKlU,0.0,24.3236,2.1142,17.3077,0.0
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,conciseness,36,81.9444,19.4671,v_-UwqKYkkKlU,0.0,24.3236,2.1142,17.3077,0.0
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,relevance,36,79.1667,22.7565,v_-UwqKYkkKlU,0.0,24.3236,2.1142,17.3077,0.0
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,accuracy,36,81.25,19.2493,v_-UwqKYkkKlU,0.0011,28.4751,15.6977,33.9752,0.0
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,completeness,36,81.25,21.8559,v_-UwqKYkkKlU,0.0011,28.4751,15.6977,33.9752,0.0
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,conciseness,36,81.9444,17.5368,v_-UwqKYkkKlU,0.0011,28.4751,15.6977,33.9752,0.0
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,relevance,36,84.0278,19.9578,v_-UwqKYkkKlU,0.0011,28.4751,15.6977,33.9752,0.0
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,accuracy,36,34.7222,26.2391,v_-UwqKYkkKlU,0.0011,34.3574,7.5246,35.9608,5.5556
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,completeness,36,28.4722,23.2631,v_-UwqKYkkKlU,0.0011,34.3574,7.5246,35.9608,5.5556
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,conciseness,36,34.7222,24.8408,v_-UwqKYkkKlU,0.0011,34.3574,7.5246,35.9608,5.5556
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,relevance,36,31.25,24.1831,v_-UwqKYkkKlU,0.0011,34.3574,7.5246,35.9608,5.5556
